,BPM,Genre,Label,Song_name,Key,Artists,Length,Song_file,Length_minutes,Min_or_Maj
34,131,Trance,Coldharbour, The Jaguar (Extended Mix).mp3,11A , Fisherman ,476.0,11A - 131 - Fisherman - The Jaguar (Extended Mix).mp3,7.933333333333334,Min
35,135,Trance,Coldharbour, Wild Dream (Extended Mix).mp3,2A , Andy Moor Feat Adina Butar ,350.0,2A - 135 - Andy Moor Feat Adina Butar - Wild Dream (Extended Mix).mp3,5.833333333333333,Min
36,132,Trance,Coldharbour, Commando (Extended Mix).mp3,6A , Yoel Lewis,317.0,6A - 132 - Yoel Lewis- Commando (Extended Mix).mp3,5.283333333333333,Min
37,130,Trance,Coldharbour, Pushing Up (Arkham Knights Dark Path Remix).mp3,7A , Solid Stone Feat Jennifer Rene ,517.0,7A - 130 - Solid Stone Feat Jennifer Rene - Pushing Up (Arkham Knights Dark Path Remix).mp3,8.616666666666667,Min
38,126,Trance,Coldharbour, Calling for Love (Hazem Beltagui Extended Remix).mp3,1A , Markus Schulz Feat JES ,441.0,1A - 126 - Markus Schulz Feat JES - Calling for Love (Hazem Beltagui Extended Remix).mp3,7.35,Min
39,124,Trance,Coldharbour, Brouhaha (Extended Mix).mp3,4A , Dylhen ,503.0,4A - 124 - Dylhen - Brouhaha (Extended Mix).mp3,8.383333333333333,Min
40,132,Trance,Coldharbour, Try For Me (Extended Mix).mp3,8A , Dave Neven & Ellie White ,458.0,8A - 132 - Dave Neven & Ellie White - Try For Me (Extended Mix).mp3,7.633333333333334,Min
41,134,Trance,Coldharbour, Mangrove (Extended Mix).mp3,2A , Artento Divini ,322.0,2A - 134 - Artento Divini - Mangrove (Extended Mix).mp3,5.366666666666666,Min
42,130,Trance,Coldharbour,  The Light in You (Extended Mix).mp3,3A , Anske ,421.0,3A - 130 - Anske -  The Light in You (Extended Mix).mp3,7.016666666666667,Min
43,130,Trance,Coldharbour, Renaissance (Extended Mix).mp3,6A , Arkham Knights ,531.0,6A - 130 - Arkham Knights - Renaissance (Extended Mix).mp3,8.85,Min
44,132,Trance,Coldharbour, Another Dimension (Extended Mix).mp3,6A , Arkham Knights ,445.0,6A - 132 - Arkham Knights - Another Dimension (Extended Mix).mp3,7.416666666666667,Min
45,130,Trance,Coldharbour, The Awakening (Extended Mix).mp3,11B , Markus Schulz ,483.0,11B - 130 - Markus Schulz - The Awakening (Extended Mix).mp3,8.05,Maj
46,138,Trance,Coldharbour, Calling for Love (DRYM Extended Remix).mp3,1A , Markus Schulz Feat JES ,351.0,1A - 138 - Markus Schulz Feat JES - Calling for Love (DRYM Extended Remix).mp3,5.85,Min
47,134,Trance,Coldharbour, Belief (Extended Mix).mp3,4A , Radion6 & Artento Divini ,379.0,4A - 134 - Radion6 & Artento Divini - Belief (Extended Mix).mp3,6.316666666666666,Min
48,134,Trance,Coldharbour, The Spirit Of The Warrior (Jordan Suckley Extended Remix).mp3,8A , Markus Schulz Presents Dakota ,379.0,8A - 134 - Markus Schulz Presents Dakota - The Spirit Of The Warrior (Jordan Suckley Extended Remix).mp3,6.316666666666666,Min
49,135,Trance,Coldharbour, Right in the Night (Extended Mix).mp3,5A , Jam El Mar Feat Adina Butar,330.0,5A - 135 - Jam El Mar Feat Adina Butar- Right in the Night (Extended Mix).mp3,5.5,Min
50,124,Trance,Coldharbour, Sanctuary (Extended Mix).mp3,7A , Dylhen ,462.0,7A - 124 - Dylhen - Sanctuary (Extended Mix).mp3,7.7,Min
51,123,Trance,Coldharbour, Traveling (Dave Neven's Extended In Search Of Sunrise Mix).mp3,8A , Dave Neven Presents Ocata ,521.0,8A - 123 - Dave Neven Presents Ocata - Traveling (Dave Neven's Extended In Search Of Sunrise Mix).mp3,8.683333333333334,Min
52,132,Trance,Coldharbour, Safe from Harm (Markus Schulz In Bloom Extended Mix).mp3,7A , Markus Schulz Feat Emma Hewitt ,443.0,7A - 132 - Markus Schulz Feat Emma Hewitt - Safe from Harm (Markus Schulz In Bloom Extended Mix).mp3,7.383333333333334,Min
53,138,Trance,Coldharbour, Safe from Harm (Giuseppe Ottaviani Extended Remix).mp3,7A , Markus Schulz Feat Emma Hewitt ,420.0,7A - 138 - Markus Schulz Feat Emma Hewitt - Safe from Harm (Giuseppe Ottaviani Extended Remix).mp3,7.0,Min
54,125,Trance,Coldharbour, Safe from Harm (Dylhen Extended Remix).mp3,7A , Markus Schulz Feat Emma Hewitt ,451.0,7A - 125 - Markus Schulz Feat Emma Hewitt - Safe from Harm (Dylhen Extended Remix).mp3,7.516666666666667,Min
55,122,Trance,Coldharbour, Drift (Extended Mix).mp3,7B , Dylhen ,452.0,7B - 122 - Dylhen - Drift (Extended Mix).mp3,7.533333333333333,Maj
56,131,Trance,Coldharbour, Spectral Semblance (Extended Mix).mp3,7A , Jam El Mar,497.0,7A - 131 - Jam El Mar- Spectral Semblance (Extended Mix).mp3,8.283333333333333,Min
57,131,Trance,Coldharbour, The Mission (Extended Mix).mp3,11A , Fisherman ,439.0,11A - 131 - Fisherman - The Mission (Extended Mix).mp3,7.316666666666666,Min
58,140,Trance,Coldharbour, Viola (Driftmoon & Robert Nickson Present Astrosphere Extended Remix).mp3,8A , Moogwai ,637.0,8A - 140 - Moogwai - Viola (Driftmoon & Robert Nickson Present Astrosphere Extended Remix).mp3,10.616666666666667,Min
59,138,Trance,FSOE, Paralyzed (A & Z Remix).mp3,6A , Aly & Fila Feat Haliene ,420.0,6A - 138 - Aly & Fila Feat Haliene - Paralyzed (A & Z Remix).mp3,7.0,Min
60,138,Trance,FSOE, StarForm (Extended Mix).mp3,1A , Activa & Lostly ,456.0,1A - 138 - Activa & Lostly - StarForm (Extended Mix).mp3,7.6,Min
61,138,Trance,FSOE, Rebirth (Ahmed Romel Extended Remix).mp3,5A , Aly & Fila ,549.0,5A - 138 - Aly & Fila - Rebirth (Ahmed Romel Extended Remix).mp3,9.15,Min
62,140,Trance,FSOE, On The Inside (Extended Mix).mp3,5A , Hazem Beltagui & Renny Carroll ,521.0,5A - 140 - Hazem Beltagui & Renny Carroll - On The Inside (Extended Mix).mp3,8.683333333333334,Min
63,138,Trance,FSOE, Airflow (Extended Mix).mp3,3A , Stoneface & Terminal ,486.0,3A - 138 - Stoneface & Terminal - Airflow (Extended Mix).mp3,8.1,Min
64,138,Trance,FSOE, Infinito (Extended Mix).mp3,8B , Alessandra Roncone ,417.0,8B - 138 - Alessandra Roncone - Infinito (Extended Mix).mp3,6.95,Maj
65,138,Trance,FSOE, Moving Souls (Extended Mix).mp3,7A , Misja Helsloot Vs XiJaro Pitch ,473.0,7A - 138 - Misja Helsloot Vs XiJaro Pitch - Moving Souls (Extended Mix).mp3,7.883333333333334,Min
66,138,Trance,FSOE, When Heroes Fall (Extended Mix).mp3,11A , Driftmoon Feat Eller ,452.0,11A - 138 - Driftmoon Feat Eller - When Heroes Fall (Extended Mix).mp3,7.533333333333333,Min
67,138,Trance,FSOE, For The One You Love (Extended Mix).mp3,7A , Roger Shah & RAM Feat Natalie Gioia ,448.0,7A - 138 - Roger Shah & RAM Feat Natalie Gioia - For The One You Love (Extended Mix).mp3,7.466666666666667,Min
68,135,Trance,FSOE, Reflection (Original Mix).mp3,8A , Andy Moor & Alex Ryan ,453.0,8A - 135 - Andy Moor & Alex Ryan - Reflection (Original Mix).mp3,7.55,Min
69,138,Trance,FSOE, A Different Part Of Me (Extended Mix).mp3,8A , Roger Shah Feat Suzie Ledge ,480.0,8A - 138 - Roger Shah Feat Suzie Ledge - A Different Part Of Me (Extended Mix).mp3,8.0,Min
70,138,Trance,FSOE, Easy Way Out (Extended Mix).mp3,10A , Solis &  Sean Truby with Cari ,393.0,10A - 138 - Solis &  Sean Truby with Cari - Easy Way Out (Extended Mix).mp3,6.55,Min
71,138,Trance,FSOE, Serenity (Extended Mix).mp3,11B , Alessandra Roncone ,354.0,11B - 138 - Alessandra Roncone - Serenity (Extended Mix).mp3,5.9,Maj
72,137,Trance,FSOE, Camellia (Ciaran McAuley Extended Remix).mp3,6A , Aly & Fila Vs Ferry Corsten ,412.0,6A - 137 - Aly & Fila Vs Ferry Corsten - Camellia (Ciaran McAuley Extended Remix).mp3,6.866666666666666,Min
73,138,Trance,FSOE, Typhoon (Extended Mix).mp3,7A , Ahmed Romel & Allen Watts ,470.0,7A - 138 - Ahmed Romel & Allen Watts - Typhoon (Extended Mix).mp3,7.833333333333333,Min
74,138,Trance,FSOE, The Vision (Extended Mix).mp3,5A , Niko Zografos Feat Crystal Blakk ,450.0,5A - 138 - Niko Zografos Feat Crystal Blakk - The Vision (Extended Mix).mp3,7.5,Min
75,138,Trance,FSOE, A Different Part Of Me (Suncatcher Remix).mp3,8A , Roger Shah Susie Ledge ,462.0,8A - 138 - Roger Shah Susie Ledge - A Different Part Of Me (Suncatcher Remix).mp3,7.7,Min
76,139,Trance,FSOE, Sweet Melody (Extended Mix).mp3,7B , Sean Mathews ,480.0,7B - 139 - Sean Mathews - Sweet Melody (Extended Mix).mp3,8.0,Maj
77,140,Trance,FSOE, The New World (Extended Mix).mp3,11A , Jak Aggas ,399.0,11A - 140 - Jak Aggas - The New World (Extended Mix).mp3,6.65,Min
78,138,Trance,FSOE, Shoreline (Extended Mix).mp3,11A , Solis & Sean Truby ,367.0,11A - 138 - Solis & Sean Truby - Shoreline (Extended Mix).mp3,6.116666666666666,Min
79,140,Trance,FSOE, Inertia (Extended Mix).mp3,9A , Darren Porter,363.0,9A - 140 - Darren Porter- Inertia (Extended Mix).mp3,6.05,Min
80,138,Trance,FSOE, Digital Voices (Extended Mix).mp3,4A , Arctic Moon ,488.0,4A - 138 - Arctic Moon - Digital Voices (Extended Mix).mp3,8.133333333333333,Min
81,140,Trance,FSOE, A World Beyond (Extended Mix).mp3,4A , Aly & Fila With Philippe El Sisi & Omar Sherif ,532.0,4A - 140 - Aly & Fila With Philippe El Sisi & Omar Sherif - A World Beyond (Extended Mix).mp3,8.866666666666667,Min
82,138,Trance,FSOE, Test Of Time (Extended Mix).mp3,2A , Paul Denton ,469.0,2A - 138 - Paul Denton - Test Of Time (Extended Mix).mp3,7.816666666666666,Min
83,137,Trance,FSOE, Goldeneye (Extended Mix).mp3,8A , James Dymond ,412.0,8A - 137 - James Dymond - Goldeneye (Extended Mix).mp3,6.866666666666666,Min
84,140,Trance,FSOE, Till The Sunrise (Extended Mix).mp3,1A , Giuseppe Ottaviani ,416.0,1A - 140 - Giuseppe Ottaviani - Till The Sunrise (Extended Mix).mp3,6.933333333333334,Min
85,140,Trance,FSOE, Push Through (Extended Mix).mp3,5A , Fady & Mina Feat Leolani ,490.0,5A - 140 - Fady & Mina Feat Leolani - Push Through (Extended Mix).mp3,8.166666666666666,Min
86,140,Trance,FSOE, Temptation (Extended Mix).mp3,7B , Madwave ,438.0,7B - 140 - Madwave - Temptation (Extended Mix).mp3,7.3,Maj
87,138,Trance,FSOE, Beyond The Truth (Original Mix).mp3,2B , Alan Morris ,354.0,2B - 138 - Alan Morris - Beyond The Truth (Original Mix).mp3,5.9,Maj
88,138,Trance,FSOE, Strangers Like Me (Extended Mix).mp3,6A , Jak Aggas ,430.0,6A - 138 - Jak Aggas - Strangers Like Me (Extended Mix).mp3,7.166666666666667,Min
89,140,Trance,FSOE, Back Home (Fady & Mina Vs Omar Sherif Remix).mp3,11A , Hazem Beltagui & Adara ,530.0,11A - 140 - Hazem Beltagui & Adara - Back Home (Fady & Mina Vs Omar Sherif Remix).mp3,8.833333333333334,Min
90,140,Trance,FSOE, Rosa (Extended Mix).mp3,5A , Andrea Ribeca ,416.0,5A - 140 - Andrea Ribeca - Rosa (Extended Mix).mp3,6.933333333333334,Min
91,138,Trance,FSOE, Elysium (Extended Mix).mp3,9A , Alan Morris & Martin Drake ,455.0,9A - 138 - Alan Morris & Martin Drake - Elysium (Extended Mix).mp3,7.583333333333333,Min
92,140,Trance,FSOE, Afterglow (Extended Mix).mp3,4A , Paul Denton ,466.0,4A - 140 - Paul Denton - Afterglow (Extended Mix).mp3,7.766666666666667,Min
93,138,Trance,FSOE, Sea Of Sounds (Extended Mix).mp3,5A , Ahmed Romel ,542.0,5A - 138 - Ahmed Romel - Sea Of Sounds (Extended Mix).mp3,9.033333333333333,Min
94,138,Trance,FSOE, Hold Your Head Up High (Aly & Fila Extended Remix).mp3,10A , Roger Shah & Aisling Jarvis ,516.0,10A - 138 - Roger Shah & Aisling Jarvis - Hold Your Head Up High (Aly & Fila Extended Remix).mp3,8.6,Min
95,138,Trance,FSOE, Miracle (Original Mix).mp3,3A , Madwave & Exouler ,504.0,3A - 138 - Madwave & Exouler - Miracle (Original Mix).mp3,8.4,Min
96,138,Trance,FSOE, Deadline (Extended Mix).mp3,8A , Sneijder & James Dymond ,426.0,8A - 138 - Sneijder & James Dymond - Deadline (Extended Mix).mp3,7.1,Min
97,140,Trance,FSOE, Echoes In Oslo (Extended Mix).mp3,8A , Lostly ,365.0,8A - 140 - Lostly - Echoes In Oslo (Extended Mix).mp3,6.083333333333333,Min
98,140,Trance,FSOE, Whiplash (Alessandra Roncone Extended Remix).mp3,8A , Darren Porter ,404.0,8A - 140 - Darren Porter - Whiplash (Alessandra Roncone Extended Remix).mp3,6.733333333333333,Min
99,140,Trance,FSOE, Surrender (Giuseppe Ottaviani Extended Remix).mp3,3B , Aly & Fila With Sue McLaren ,396.0,3B - 140 - Aly & Fila With Sue McLaren - Surrender (Giuseppe Ottaviani Extended Remix).mp3,6.6,Maj
100,140,Trance,FSOE, You & I (Extended Club Mix).mp3,6B , Aly & Fila with Emma Hewitt ,473.0,6B - 140 - Aly & Fila with Emma Hewitt - You & I (Extended Club Mix).mp3,7.883333333333334,Maj
101,137,Trance,FSOE, Revolver (Extended Mix).mp3,11A , Activa ,428.0,11A - 137 - Activa - Revolver (Extended Mix).mp3,7.133333333333334,Min
102,138,Trance,FSOE, Waterfall (Extended Mix).mp3,3A , Scott Bond & Charlie Walker Feat Marcella Woods ,525.0,3A - 138 - Scott Bond & Charlie Walker Feat Marcella Woods - Waterfall (Extended Mix).mp3,8.75,Min
103,138,Trance,FSOE, Leave It All Behind (Extended Mix).mp3,12B , Factor B ,483.0,12B - 138 - Factor B - Leave It All Behind (Extended Mix).mp3,8.05,Maj
104,138,Trance,FSOE, Stay (Extended Mix).mp3,1A , James Dymond ,400.0,1A - 138 - James Dymond - Stay (Extended Mix).mp3,6.666666666666667,Min
105,136,Trance,FSOE, Graceful (Extended Mix).mp3,3A , M.I.K.E. Push ,423.0,3A - 136 - M.I.K.E. Push - Graceful (Extended Mix).mp3,7.05,Min
106,140,Trance,FSOE, Storm (Extended Mix).mp3,1A , Sean Tyas Vs Metta & Glyde ,478.0,1A - 140 - Sean Tyas Vs Metta & Glyde - Storm (Extended Mix).mp3,7.966666666666667,Min
107,140,Trance,FSOE, Twilo (Extended Mix).mp3,3A , Sean Tyas ,473.0,3A - 140 - Sean Tyas - Twilo (Extended Mix).mp3,7.883333333333334,Min
108,138,Trance,FSOE, Suenos Argentinos (Extended Mix).mp3,8A , Omar Sherif ,419.0,8A - 138 - Omar Sherif - Suenos Argentinos (Extended Mix).mp3,6.983333333333333,Min
109,138,Trance,FSOE, How Will I Know (Extended Club Mix).mp3,4A , The Thrillseekers Feat Stine Grove ,490.0,4A - 138 - The Thrillseekers Feat Stine Grove - How Will I Know (Extended Club Mix).mp3,8.166666666666666,Min
110,138,Trance,FSOE, In Your Memory (Lostly Extended Remix).mp3,10A , Aly & Fila ,433.0,10A - 138 - Aly & Fila - In Your Memory (Lostly Extended Remix).mp3,7.216666666666667,Min
111,138,Trance,FSOE, The Paradox (Extended Mix).mp3,9B , Hazem Beltagui ,464.0,9B - 138 - Hazem Beltagui - The Paradox (Extended Mix).mp3,7.733333333333333,Maj
112,140,Trance,FSOE, Feel Your Dream (Extended Mix).mp3,4B , Liam Wilson ,392.0,4B - 140 - Liam Wilson - Feel Your Dream (Extended Mix).mp3,6.533333333333333,Maj
113,140,Trance,FSOE, Vulcan (Extended Mix).mp3,10A , A & Z ,446.0,10A - 140 - A & Z - Vulcan (Extended Mix).mp3,7.433333333333334,Min
114,136,Trance,FSOE, Maybe It's You (Extended Club Mix).mp3,2B , Hazem Beltagui Feat Avenue One Jaren ,451.0,2B - 136 - Hazem Beltagui Feat Avenue One Jaren - Maybe It's You (Extended Club Mix).mp3,7.516666666666667,Maj
115,140,Trance,FSOE, Avenoir (Niko Zografos Extended Remix).mp3,12A , Monoverse ,415.0,12A - 140 - Monoverse - Avenoir (Niko Zografos Extended Remix).mp3,6.916666666666667,Min
116,138,Trance,FSOE, White Rooms (Extended Mix).mp3,5A , Factor B ,508.0,5A - 138 - Factor B - White Rooms (Extended Mix).mp3,8.466666666666667,Min
117,139,Trance,FSOE, 20 Stories (Original Mix).mp3,2A , Liam Wilson ,419.0,2A - 139 - Liam Wilson - 20 Stories (Original Mix).mp3,6.983333333333333,Min
118,138,Trance,FSOE, Serenity (Extended Mix).mp3,9B , Ciaran McAuley Meets Azam Ali & Jeff Rona ,380.0,9B - 138 - Ciaran McAuley Meets Azam Ali & Jeff Rona - Serenity (Extended Mix).mp3,6.333333333333333,Maj
119,140,Trance,FSOE, Till We Meet Again (Extended Mix).mp3,1A , Philippe El Sisi & Ahmed Romel ,390.0,1A - 140 - Philippe El Sisi & Ahmed Romel - Till We Meet Again (Extended Mix).mp3,6.5,Min
120,139,Trance,FSOE, Return To Reality (Extended Mix).mp3,7A , Liam Wilson ,448.0,7A - 139 - Liam Wilson - Return To Reality (Extended Mix).mp3,7.466666666666667,Min
121,138,Trance,FSOE, Black Mirror (Extended Mix).mp3,6A , James Dymond,391.0,6A - 138 - James Dymond- Black Mirror (Extended Mix).mp3,6.516666666666667,Min
122,140,Trance,FSOE,  Symbols (Extended Mix).mp3,4A , A & Z ,390.0,4A - 140 - A & Z -  Symbols (Extended Mix).mp3,6.5,Min
123,136,Trance,FSOE, Transcendence (Extended Mix).mp3,1B , Darren Porter & Alessandra Roncone ,595.0,1B - 136 - Darren Porter & Alessandra Roncone - Transcendence (Extended Mix).mp3,9.916666666666666,Maj
124,136,Trance,FSOE, Need You There (Extended Club Mix).mp3,8A , Stoneface & Terminal ,489.0,8A - 136 - Stoneface & Terminal - Need You There (Extended Club Mix).mp3,8.15,Min
125,136,Trance,FSOE, Never Fade Away Benthe (Extended Mix).mp3,7B , Ciaran McAuley ,445.0,7B - 136 - Ciaran McAuley - Never Fade Away Benthe (Extended Mix).mp3,7.416666666666667,Maj
126,138,Trance,FSOE, Reminds Me Of You (Extended Mix).mp3,1A , Alan Morris ,370.0,1A - 138 - Alan Morris - Reminds Me Of You (Extended Mix).mp3,6.166666666666667,Min
127,140,Trance,FSOE, Surrender (Extended Mix).mp3,3A , Aly & Fila with Sue McLaren ,449.0,3A - 140 - Aly & Fila with Sue McLaren - Surrender (Extended Mix).mp3,7.483333333333333,Min
128,138,Trance,FSOE, The Next Abyss (Extended Mix).mp3,1A , M.I.K.E. Push ,422.0,1A - 138 - M.I.K.E. Push - The Next Abyss (Extended Mix).mp3,7.033333333333333,Min
129,140,Trance,FSOE, Awakening (Stoneface & Terminal Remix).mp3,12B , Aly & Fila ,564.0,12B - 140 - Aly & Fila - Awakening (Stoneface & Terminal Remix).mp3,9.4,Maj
130,138,Trance,FSOE, Live For Tomorrow (Extended Mix).mp3,1A , Ferry Tayle & Betsie Larkin ,521.0,1A - 138 - Ferry Tayle & Betsie Larkin - Live For Tomorrow (Extended Mix).mp3,8.683333333333334,Min
131,140,Trance,FSOE, Breathe Us To Life (Fady & Mina Remix).mp3,7A , Aly & Fila with HALIENE ,496.0,7A - 140 - Aly & Fila with HALIENE - Breathe Us To Life (Fady & Mina Remix).mp3,8.266666666666667,Min
132,136,Trance,FSOE, Camellia (Extended Mix).mp3,6A , Aly & Fila Vs Ferry Corsten ,402.0,6A - 136 - Aly & Fila Vs Ferry Corsten - Camellia (Extended Mix).mp3,6.7,Min
133,138,Trance,FSOE,  Porto Katsiki (Extended Mix).mp3,8A , Niko Zografos ,406.0,8A - 138 - Niko Zografos -  Porto Katsiki (Extended Mix).mp3,6.766666666666667,Min
134,140,Trance,FSOE, Mesmerized (Extended Mix).mp3,3B , A & Z ,449.0,3B - 140 - A & Z - Mesmerized (Extended Mix).mp3,7.483333333333333,Maj
135,138,Trance,WAO138, Africa (Extended Mix).mp3,6A , RAM ,380.0,6A - 138 - RAM - Africa (Extended Mix).mp3,6.333333333333333,Min
136,138,Trance,WAO138, Gladiator (Extended Mix).mp3,3A , RAM & Exis ,358.0,3A - 138 - RAM & Exis - Gladiator (Extended Mix).mp3,5.966666666666667,Min
137,138,Trance,WAO138, The Sound Of E (Jorn van Deynhoven Remix).mp3,3A , Ultra Shock ,401.0,3A - 138 - Ultra Shock - The Sound Of E (Jorn van Deynhoven Remix).mp3,6.683333333333334,Min
